2021-08-05 23:04:53.937881, 4738.90373, 12220.12765
2021-08-05 23:05:12.930735, 4738.90101, 12220.12705
2021-08-05 23:05:13.934667, 4738.90124, 12220.12799
2021-08-05 23:05:14.932941, 4738.90133, 12220.12831
2021-08-05 23:05:15.934444, 4738.90137, 12220.12860
2021-08-05 23:05:16.933702, 4738.90142, 12220.12909
2021-08-05 23:05:17.933556, 4738.90139, 12220.12941
2021-08-05 23:05:18.934982, 4738.90155, 12220.12951
2021-08-05 23:05:19.933370, 4738.90185, 12220.12960
2021-08-05 23:05:20.934156, 4738.90203, 12220.12966
2021-08-05 23:05:21.932823, 4738.90371, 12220.13035
2021-08-05 23:05:22.934403, 4738.90548, 12220.13115
2021-08-05 23:05:23.931376, 4738.90635, 12220.13244
2021-08-05 23:05:24.937416, 4738.90700, 12220.13353
2021-08-05 23:05:25.933175, 4738.90739, 12220.13060
2021-08-05 23:05:26.934188, 4738.90723, 12220.13109
2021-08-05 23:05:27.932323, 4738.90729, 12220.13123
2021-08-05 23:05:28.932064, 4738.90742, 12220.13192
2021-08-05 23:05:29.934040, 4738.90706, 12220.13237
2021-08-05 23:05:30.936142, 4738.90633, 12220.13197
2021-08-05 23:05:31.933495, 4738.90593, 12220.13155
2021-08-05 23:05:32.934030, 4738.90585, 12220.13180
2021-08-05 23:05:33.934079, 4738.90531, 12220.13184
2021-08-05 23:05:34.929798, 4738.90509, 12220.13163
2021-08-05 23:05:35.932319, 4738.90486, 12220.13175
2021-08-05 23:05:36.930727, 4738.90457, 12220.13167
